LearneCN — vocabulary filter report

Generated by tools/filter-vocabulary.py. Every line is a change that
tool made to the shipped data. "trigger" is the word that caused it;
the offending definitions themselves are not repeated here.

Official HSK 1-6 vocabulary is never deleted. The most that happens to
an HSK word is that one sense is dropped from its gloss.

779 headwords are gone from the data entirely.
967 practice questions were about one of them and went with it.
1810 more had an obscene wrong answer swapped for a clean one and were kept.

------------------------------------------------------------------------------
file          word       reading          action                           category   trigger
cedict.json   副室         fu4 shi4         removed                          sexual     concubine
cedict.json   勃起         bo2 qi3          removed                          sexual     erection
cedict.json   勾三搭四       gou1 san1 da1 s  sense dropped                    sexual     seduce
cedict.json   勾人         gou1 ren2        removed                          sexual     sexy
cedict.json   勾引         gou1 yin3        sense dropped                    sexual     seduce
cedict.json   勾栏         gou1 lan2        sense dropped                    sexual     brothel
cedict.json   十三点        shi2 san1 dian3  removed                          sexual     review
cedict.json   半开门        ban4 kai1 men2   sense dropped                    sexual     prostitute
cedict.json   卖春         mai4 chun1       removed                          sexual     prostitution
cedict.json   卖淫         mai4 yin2        removed                          sexual     prostitution
cedict.json   卖淫女        mai4 yin2 nu:3   removed                          sexual     prostitute
cedict.json   卖笑         mai4 xiao4       sense dropped                    sexual     prostitute
cedict.json   卖身         mai4 shen1       sense dropped                    sexual     prostitute
cedict.json   卡萨诺瓦       Ka3 sa4 nuo4 wa  removed                          sexual     womanizing
cedict.json   卫生套        wei4 sheng1 tao  removed                          sexual     condom
cedict.json   卵          luan3            sense dropped                    sexual     testicles
cedict.json   卵子         luan3 zi5        removed                          sexual     testicles
cedict.json   又想当婊子又想立牌坊 you4 xiang3 dan  sense dropped                    sexual     whore
cedict.json   发骚         fa1 sao1         removed                          sexual     horny
cedict.json   变态         bian4 tai4       sense dropped                    sexual     pervert
cedict.json   口交         kou3 jiao1       removed                          sexual     review
cedict.json   口射         kou3 she4        removed                          sexual     ejaculate
cedict.json   口活         kou3 huo2        removed                          sexual     oral sex
cedict.json   口淫         kou3 yin2        removed                          sexual     oral sex
cedict.json   口爆         kou3 bao4        removed                          sexual     ejaculate
cedict.json   叫鸡         jiao4 ji1        sense dropped                    sexual     prostitute
cedict.json   召妓         zhao4 ji4        removed                          sexual     prostitute
cedict.json   名妓         ming2 ji4        removed                          sexual     courtesan
cedict.json   后妃         hou4 fei1        removed                          sexual     concubines
cedict.json   后宫         hou4 gong1       removed                          sexual     harem
cedict.json   后庭         hou4 ting2       sense dropped                    sexual     harem
cedict.json   后门         hou4 men2        sense dropped                    sexual     anus
cedict.json   吞精         tun1 jing1       removed                          sexual     semen
cedict.json   和衣而卧       he2 yi1 er2 wo4  removed                          sexual     sleep with
cedict.json   咸水妹        xian2 shui3 mei  removed                          sexual     prostitute
cedict.json   咸湿         xian2 shi1       removed                          sexual     obscene
cedict.json   咸猪手        xian2 zhu1 shou  removed                          sexual     pervert
cedict.json   哈伦裤        ha1 lun2 ku4     removed                          sexual     harem
